date,product,region,units_sold,revenue
2025-01-05,Laptop,North,12,960000
2025-01-05,Phone,North,30,600000
2025-01-05,Laptop,South,8,640000
2025-01-05,Phone,South,20,400000
2025-02-05,Laptop,North,15,1200000
2025-02-05,Phone,North,25,500000
2025-02-05,Laptop,South,10,800000
2025-02-05,Phone,South,18,360000
2025-03-05,Laptop,North,9,720000
2025-03-05,Phone,North,22,440000
2025-03-05,Laptop,South,7,560000
2025-03-05,Phone,South,15,300000
2025-04-05,Laptop,North,6,480000
2025-04-05,Phone,North,20,400000
2025-04-05,Laptop,South,5,400000
2025-04-05,Phone,South,12,240000
2025-05-05,Laptop,North,4,320000
2025-05-05,Phone,North,28,560000
2025-05-05,Laptop,South,3,240000
2025-05-05,Phone,South,10,200000
2025-06-05,Laptop,North,3,240000
2025-06-05,Phone,North,32,640000
2025-06-05,Laptop,South,2,160000
2025-06-05,Phone,South,8,160000
